Title,Vendor,Source_Project,License_Category,Item_No,Quantity,Metric,Type,Ready_for_Procurement,License_Server_Planned,Priority_Date,Priority_Reason,Changes_Since_Feb_2025,Changes_from_Local_List,Action,Responsible,Due_Date,Comment,Comment_2
Commerce ST Portal,SAP,FRAME,Cloud Contract,86,4781,User,Cloud Contract,procurement in progress by workstream outside license management,,,,,,,,,,
Convergent Charging Server,SAP,FRAME,Paid License,n/a,,,,n/a,,,,x,,,,,,"updated, not required, covered in different line item"
Digital Access,SAP,FRAME,Perpetual,n/a,1.000.000,Documents,Perpetual,n/a,,,,,,Perform SAP Measurement,SWS2,,duplicate,
ERP Foundation / Starter Pack,SAP,FRAME,Perpetual,86,1,Piece,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
Hana DB,SAP,FRAME,Perpetual,86,15% of license value SAP,%,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
SAP Business Objects (Normal User),SAP,FRAME,Perpetual,86,160,Concurrent Sessions,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,Perform SAP Measurement,SWS2,,,
SAP Business Objects (TopUser),SAP,FRAME,Perpetual,86,50,Standard User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,Perform SAP Measurement,SWS2,,,
BRIM: CRM:SOM Subscription Order Management,SAP,FRAME,Perpetual,86,23 blocks a 50.000.000,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
BRIM: CC:Convergent Charging,SAP,FRAME,Perpetual,86,23 blocks a 50.000.000,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
SAP Business Warehouse,SAP,FRAME,Perpetual,n/a,676,User,Perpetual,n/a,,,,x,,,,,on Prem BW free of charge,"updated, not required, covered in different line item"
SAP CRM,SAP,FRAME,tbd,n/a,1300,User,tbd,n/a,,,,,,Perform SAP Measurement,SWS2,,duplicate,
SAP EWM (auf Hana DB),SAP,FRAME,Perpetual,n/a,307,User,Perpetual,n/a,,,,x,,,,,covered with 7021400	SAP S/4HANA Supply Chain for extended warehouse management,"updated, not required, covered in different line item"
IdM Reporting 2.0,Saviynt,FRAME,Paid License,87,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_19086
Identity Management (oneIdM),Saviynt,FRAME,Paid License,87,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_22941
CARDIO,Saviynt,FRAME,Paid License,87,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_3508
Packassistant,Scapos,FRAME,unknown,88,2,User,unknown,y,,,,,,,,,,
Beyond Compare,Scooter Software,FRAME,Perpetual,89,598,User,Perpetual,y,,,,,,,,,,
Sharedien MAM/DAM Shared Cloud,Sharadien,FRAME,Paid License,90,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_92937
Teamcenter Product Cost Management,Siemens PLM,FRAME,tbd,n/a,3,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
Visualization,Siemens PLM,FRAME,tbd,n/a,116,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
Teamcenter NX,Siemens PLM,FRAME,tbd,n/a,1,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
Teamcenter NX CAE,Siemens PLM,FRAME,tbd,n/a,1,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
DPnE Prod Plan,Siemens PLM,FRAME,tbd,n/a,1,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
ProCodex (userbased),Siemens PLM,FRAME,tbd,n/a,17,User,tbd,n/a,WS04a | FlexLM,,,,,,SWS4,,,
Digital Thread Navigation XaaS,Siemens PLM,FRAME,tbd,91,1,Regional Floating EMEA,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Digital Thread Navigation XaaS,Siemens PLM,FRAME,tbd,91,1,Regional Floating AM,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
DXF File Open for TC Vis,Siemens PLM,FRAME,tbd,91,1,Global Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
IGES File Open for TC Vis,Siemens PLM,FRAME,tbd,91,1,Global Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
JT Bi-Directional Translator for STEP,Siemens PLM,FRAME,tbd,91,3,Global Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Plant Simulation Professional Concurrent,Siemens PLM,FRAME,tbd,91,1,Regional Floating EMEA,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
TC Visualization Mockup,Siemens PLM,FRAME,tbd,91,1,Regional Floating EMEA,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
TC Visualization Pro Plus,Siemens PLM,FRAME,tbd,91,10,Global Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Teamcenter Visualization Animation,Siemens PLM,FRAME,tbd,91,1,Global Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Variation Analysis (Concurrent),Siemens PLM,FRAME,tbd,91,1,Regional Floating EMEA,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
BT/ Percolate (SaaS),Siesmic,FRAME,Paid License,92,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_11408
DALI 1.0,Snowflake,FRAME,Paid License,93,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_61692
REDLake Data Provisioning Service,SNP,FRAME,Paid License,94,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_74324
SNP Glue,SNP,FRAME,Subcription,94,,,Subcription,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
GETPAID 1.0,SoaPoeple,FRAME,Paid License,95,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_74590
Sonarqube Server Enterprise,SonarSource,FRAME,Subscription,96,5000000,lines of code,Subscription,y,,22.06.2025,Need to switch licenses before cut-off,,,,,,,
SOTI MobiControl,Soti Inc.,FRAME,Paid License,97,400,,,procurement in progress by workstream outside license management,,,,2025-04-09 00:00:00,,,,,See Email from Dietmar Walter / 09.04.25,See Email from Dietmar Walter / 09.04.25
Enterprise Architect Corporate,Sparx,FRAME,tbd,98,30,Floating User,tbd,y,WS04a | Sparx specific,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
W-ELP,Stethos,FRAME,Paid License,99,,,,procurement in progress by workstream outside license management,,,,,,,,,,"Mail S. Müller Nov 8, 2024"
Shared-PIM-STEP,Stibo Systems,FRAME,Paid License,100,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_46174
EuroLog,SupplyON,FRAME,Paid License,101,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_21368
SupplyON,SupplyON,FRAME,Paid License,101,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_92241
SupplyON Web EDI,SupplyON,FRAME,Paid License,101,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_35401
TOMs,SupplyON,FRAME,Paid License,101,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_33552
Desktop,Tableau,FRAME,Subscription,102,3,User,Subscription,y,,,,,,,,,,
Prep Builder,Tableau,FRAME,Subscription,102,1,User,Subscription,y,,,,,,,,,,
Talend,Talend,FRAME,Paid License,103,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
Teamviewer Enterprise Edition,Teamviewer,FRAME,Paid License,104,55,User,,y,,,,2025-05-02 00:00:00,,,,,,03.05.2025: Decide to procure
Camtasia,Techsmith,FRAME,tbd,105,7,User,tbd,y,,,,,,,,,decide on licenses model,
TBarCode Office Enterprise 2D,TEC-IT Datenverarbeitung,FRAME,Perpetual,106,3,User,Perpetual,y,,,,,,,,,,
TBarcodeOCX 11,TEC-IT Datenverarbeitung,FRAME,Perpetual,106,11,User,Perpetual,y,,,,,,,,,,
Codesoft BT,TEKLYNX,FRAME,tbd,107,103,User,tbd,already ordered,,,,2025-05-14 00:00:00,,,,,14.05.2025 already ordered,
Testrail onprem,testrail.com,FRAME,Paid License,108,10,User,,already ordered locally,,,,x,x,,,,"14.05.: details added, edition still in clarification",Upade 28.04.25: see Email Mr. Ridder to Harald Schoengen - not critical
NetApp-AV-Server (TrendMicro),TrendMicro,FRAME,Paid License,109,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input Chris Schneider
Server-AV (TrendMicro),TrendMicro,FRAME,Paid License,109,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input Chris Schneider
SketchUp Pro 2024,Trimble,FRAME,Subscription,110,9,User,Subscription,y,,,,,,,,,,
SAP Addons,Various,FRAME,Paid License,n/a,,,,n/a,,,,2025-05-02 00:00:00,,,,,,Upate 02.05.25: Specify in respective line item
Veeam Data platform Foundation Universal,Veeam,FRAME,Subscription,112,30,Packs a 10 Instances,Subscription,procurement in progress by workstream outside license management,,,,,,,SWS1,,,"wird über Comline beschafft, Angebot ist angefordert"
Vertex BT O-Series,Vertex,FRAME,Paid License,113,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_52178
VisualSVN Enterprise (1000 User),VisualSVN,FRAME,unknown,114,1,Instance,unknown,procurement in progress by workstream outside license management,,10.05.2025,Go live of Subversion needs license,2025-04-16 00:00:00,,,,,Purchase order released by Eva Andritschky on 16.04.25,
FiftyOne Enterprise,Voxel51,FRAME,Paid License,115,10,Users,,y,,,,x,x,,,,,
Visual Assist Standard Edition,Whole tomato,FRAME,Paid License,116,11,,,y,,,,x,x,,,,Personal Edition not for commercial use (organizations),
ZX1601   PC-Z1601-W1-L Design Gateway,Zuken,FRAME,tbd,117,6,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
"ZX9001 die Hauptlizenz für Design Force, in den GX-Paketen enthalten",Zuken,FRAME,tbd,117,6,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9050 ZX9050I-W1-L    DFM Elements,Zuken,FRAME,tbd,117,8,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX4601 ZX4601I-W1-L    Components Editor,Zuken,FRAME,tbd,117,4,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9011 ZX9011I-W1-L    Intelligent Place and Route,Zuken,FRAME,tbd,117,3,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9038 ZX9038I-W1-L    DF EMD Collaborator,Zuken,FRAME,tbd,117,3,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX3301 PC-Z3301-W1-L Board Viewer Advance,Zuken,FRAME,tbd,117,3,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX4602 Interface-Lizenzen für ZX4601 Components Editor,Zuken,FRAME,tbd,117,2,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX4904 ZX4904I-W1-L    Scenario EX,Zuken,FRAME,tbd,117,2,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
"ZX9043 eine Zusatzlizenz für Design Force, in den GX-Paketen enthalten",Zuken,FRAME,tbd,117,2,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX1602 PC-Z1602-W1-L DG Standard ASCII Input/Output Module,Zuken,FRAME,tbd,117,2,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX1605 PC-Z1605-W1-L DG Library Editor,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX1607 PC-Z1607-W1-L DG PDF Compiler,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX1610 PC-Z1610-W1-L DG Circuit Difference Output/Confirmation,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX1617 PC-Z1617-W1-L DG Destination Management,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX4901 ZX4901I-W1-L    Design Force SI,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX4903 ZX4903I-W1-L    Design Force PI/EMI,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9013 ZX9013-W1-L     Dragon EX,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9014  ZX9014I-W1-L    Multi Object Design,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9019  ZX9019I-W1-L    SiP Design,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9030  ZX9030I-W1-L    DF ODB++ Export,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9032  ZX9032I-W1-L    DF ANSYS ANF I/F,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9039  ZX9039I-W1-L    Advanced STEP Generator,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9040I-W1-L    DF Unidat 2.1 Output,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9041  ZX9041I-W1-L    Power/Ground Plane Area Calculator,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZX9057  XX-Z9057-W1-L IPC-D-356 Export,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZXN000AL        Framework Engine (user),Zuken,FRAME,tbd,117,5,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZXN011AL        EDA Library Master (user),Zuken,FRAME,tbd,117,5,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ZXN008YK3      WAN - Global WAN (3 Zones)  Server License,Zuken,FRAME,tbd,117,1,Floating,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
"DS-CR, Layout, Schematic",Zuken,FRAME,tbd,n/a,,unknown,tbd,n/a,WS04a | FlexLM,,,,,,,,see comment in LDL,
